,Unnamed: 0_x,ZipCode,HousingUnits,Population_x,Households,Families,MedianAge,MedianHouseholdIncome,MedianHomeValue,Unnamed: 0_y,Unnamed: 0.1,zipcode,walkscore,transitscore,bikescore,ZIP,LAT,LNG,Zipcode,Area,Population_y,Population_ME,Median Age,Household Income,Per Capita Income,Income over $75K*,% of Pop Income $75+,Poverty Count,Poverty Rate,Time to work (don't use),Worked outside home,Drive to work,Public transit to work,Biked to work,Walked to work,Worked at home,Drive to work -%  total pop,Public transit to work -%  total pop,Biked to work -% total pop,Walked to work -% total pop,Worked at home  - % total pop,% Transiting  to work (any form),Drive to work - % commuters,Public transit to work -% commuters,Biked to work - % commuters,Walked to work - % commuters,Pop Under 5 years,Pop 5-9 years,Pop 10-14 years,Pop 15-17 years,Pop 18-19 years,Pop 20 years,Pop 21 years,Pop 22-24 years,Pop 25-29 years,Pop 30-34 years,Pop 35-39 years,Pop 40-44 years,Pop 45-49 years,Pop 50-54 years,Pop 55-59 years,Pop 60-61 years,Pop 62-64 years,Pop 65-66 years,Pop 67-69 years,Pop 70-74 years,Pop 75-79 years,Pop 80-84 years,Pop 85 years plus,Pop 0-9,Pop 10-19,Pop 20-29,Pop 30-39,Pop 40-49,Pop 50-59,Pop 60-69,Pop 70+,household_size
10,10,60612,16528.0,31466.0,14314.0,6982.0,37.9,26924.0,259592.0,11.0,11.0,60612.0,84.0,78.0,89.0,60612.0,41.88032000000001,-87.687749,60612.0,(Chicago),35559.0,1393.0,31.1,37137.0,22057.0,2568.0,0.07,11774.0,0.33,414760.0,2722.0,7205.0,4515.0,487.0,826.0,854.0,0.2,0.13,0.01,0.02,0.02,0.37,0.55,0.35,0.04,0.06,2537.0,2063.0,2423.0,1619.0,1144.0,712.0,732.0,2101.0,3604.0,3516.0,2216.0,2461.0,1686.0,2125.0,1951.0,554.0,884.0,709.0,510.0,698.0,590.0,426.0,298.0,0.13,0.15,0.2,0.16,0.12,0.11,0.07,0.06,2.1982674304876344
11,11,60613,11427.0,28611.0,10602.0,7082.0,38.3,86834.0,248080.0,12.0,12.0,60613.0,93.0,83.0,74.0,60613.0,41.956949,-87.65427199999998,60613.0,(Chicago),49519.0,1564.0,32.1,73810.0,57331.0,11467.0,0.23,5297.0,0.11,1124865.0,6115.0,12838.0,15723.0,979.0,1344.0,2372.0,0.26,0.32,0.02,0.03,0.05,0.62,0.42,0.51,0.03,0.04,2410.0,1532.0,1238.0,570.0,289.0,358.0,747.0,4337.0,9851.0,6742.0,4876.0,3118.0,3021.0,2087.0,2321.0,671.0,1080.0,596.0,628.0,908.0,742.0,572.0,825.0,0.08,0.04,0.31,0.23,0.12,0.09,0.06,0.06,2.698641765704584
12,12,60614,27236.0,33830.0,22207.0,6420.0,41.0,96244.0,562077.0,57.0,57.0,60614.0,94.0,80.0,89.0,60614.0,41.922714,-87.64957700000002,60614.0,(Chicago),69817.0,1375.0,30.1,94640.0,71659.0,20542.0,0.29,6822.0,0.1,1307195.0,8058.0,17587.0,19670.0,1081.0,3053.0,3020.0,0.25,0.28,0.02,0.04,0.04,0.59,0.42,0.48,0.03,0.07,4146.0,2514.0,2044.0,1069.0,2549.0,1407.0,975.0,6206.0,13816.0,9051.0,4819.0,3645.0,3514.0,2650.0,2957.0,1089.0,1445.0,958.0,1111.0,1515.0,1092.0,678.0,567.0,0.1,0.08,0.32,0.2,0.1,0.08,0.07,0.06,1.5233935245643266
13,13,60615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,60615.0,89.0,64.0,95.0,60615.0,41.801647,-87.596288,60615.0,(Chicago),40257.0,1237.0,33.5,40587.0,34264.0,5237.0,0.13,10058.0,0.25,524135.0,2348.0,7858.0,5721.0,667.0,2680.0,1001.0,0.2,0.14,0.02,0.07,0.02,0.42,0.46,0.34,0.04,0.16,2256.0,1810.0,1786.0,1406.0,1124.0,1067.0,985.0,2407.0,4521.0,3667.0,2704.0,2205.0,2192.0,2394.0,2032.0,899.0,1165.0,776.0,1040.0,1328.0,1080.0,753.0,660.0,0.1,0.11,0.22,0.16,0.11,0.11,0.1,0.09,
14,14,60616,26720.0,54121.0,24951.0,10245.0,32.6,73806.0,451307.0,55.0,55.0,60616.0,88.0,74.0,83.0,60616.0,41.844883,-87.624032,60616.0,(Chicago),52580.0,1735.0,36.2,42776.0,29751.0,5927.0,0.11,12976.0,0.25,707365.0,5078.0,14126.0,6390.0,454.0,2829.0,1015.0,0.27,0.12,0.01,0.05,0.02,0.45,0.59,0.27,0.02,0.12,2526.0,2236.0,2482.0,1579.0,1327.0,677.0,928.0,2817.0,5425.0,5356.0,3688.0,3378.0,3763.0,3058.0,3030.0,1278.0,1580.0,1393.0,1131.0,1383.0,1390.0,1110.0,1045.0,0.09,0.1,0.19,0.17,0.14,0.12,0.1,0.09,2.169091419181596
15,15,60617,31388.0,101742.0,25967.0,20131.0,29.0,31005.0,179300.0,54.0,54.0,60617.0,52.0,46.0,57.0,60617.0,41.718197,-87.552739,60617.0,(Chicago),80002.0,2393.0,37.5,37254.0,18085.0,3066.0,0.04,19629.0,0.25,1080490.0,7633.0,20971.0,6388.0,92.0,620.0,707.0,0.26,0.08,0.0,0.01,0.01,0.35,0.75,0.23,0.0,0.02,5055.0,5185.0,6314.0,4039.0,2478.0,891.0,1261.0,3383.0,5256.0,4040.0,4656.0,4945.0,5338.0,5395.0,4964.0,1866.0,2642.0,1681.0,1809.0,3177.0,2355.0,1806.0,1466.0,0.13,0.16,0.13,0.11,0.13,0.13,0.1,0.11,3.9181268533138214
16,16,60618,17274.0,38309.0,12903.0,8496.0,32.3,22574.0,193799.0,53.0,53.0,60618.0,72.0,63.0,73.0,60618.0,41.946962,-87.702548,60618.0,(Chicago),95632.0,2119.0,33.8,62102.0,34770.0,12193.0,0.13,11979.0,0.13,1699555.0,12015.0,30184.0,14831.0,1115.0,1697.0,3177.0,0.32,0.16,0.01,0.02,0.03,0.5,0.63,0.31,0.02,0.04,7351.0,6441.0,4937.0,2321.0,1735.0,959.0,966.0,4198.0,10214.0,11375.0,9420.0,7244.0,6266.0,5761.0,4468.0,1607.0,1684.0,1349.0,1523.0,2122.0,1462.0,1087.0,1142.0,0.14,0.09,0.17,0.22,0.14,0.11,0.06,0.06,2.968999457490506
17,17,60619,32786.0,80042.0,29747.0,17129.0,34.2,58576.0,348765.0,52.0,52.0,60619.0,88.0,60.0,54.0,60619.0,41.74369,-87.605526,60619.0,(Chicago),62822.0,1935.0,39.1,32024.0,19494.0,3048.0,0.05,18615.0,0.3,861995.0,4821.0,13461.0,6994.0,14.0,421.0,993.0,0.21,0.11,0.0,0.01,0.02,0.33,0.64,0.33,0.0,0.02,4448.0,3677.0,3692.0,2667.0,1467.0,950.0,1050.0,2693.0,4083.0,3446.0,3982.0,3263.0,3734.0,4841.0,4506.0,1710.0,2864.0,1313.0,1469.0,2074.0,1888.0,1430.0,1575.0,0.13,0.12,0.14,0.12,0.11,0.15,0.12,0.11,2.690758731972972
18,18,60620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,60620.0,75.0,58.0,63.0,60620.0,41.740497,-87.652558,60620.0,(Chicago),69299.0,2093.0,39.6,32401.0,17940.0,2606.0,0.04,18709.0,0.27,939745.0,5386.0,15256.0,7412.0,7.0,375.0,858.0,0.22,0.11,0.0,0.01,0.01,0.33,0.66,0.32,0.0,0.02,3724.0,4019.0,4470.0,3022.0,1855.0,1140.0,1331.0,2510.0,4676.0,4383.0,3773.0,4273.0,4112.0,5168.0,5416.0,1725.0,2062.0,1485.0,1723.0,2902.0,2330.0,1641.0,1559.0,0.11,0.13,0.14,0.12,0.12,0.15,0.1,0.12,
19,19,60621,1074386.0,2432359.0,940252.0,518009.0,34.6,51007.0,245338.0,50.0,50.0,60621.0,72.0,70.0,60.0,60621.0,41.776382,-87.639572,60621.0,(Chicago),31383.0,1737.0,31.2,20150.0,12253.0,522.0,0.02,13961.0,0.44,298970.0,1419.0,3959.0,3122.0,0.0,238.0,384.0,0.13,0.1,0.0,0.01,0.01,0.23,0.54,0.43,0.0,0.03,2723.0,2526.0,2004.0,1663.0,1059.0,531.0,675.0,1529.0,2407.0,2251.0,1359.0,1812.0,1545.0,2061.0,2023.0,779.0,778.0,537.0,495.0,922.0,501.0,621.0,582.0,0.17,0.15,0.16,0.12,0.11,0.13,0.08,0.08,2.586922442068722
