Zipcode,Area,Population,Population_ME,Median Age,Household Income,Per Capita Income,Income over $75K*,% of Pop Income $75+,Poverty Count,Poverty Rate,Time to work (don't use),Worked outside home,Drive to work,Public transit to work,Biked to work,Walked to work,Worked at home,Drive to work -%  total pop,Public transit to work -%  total pop,Biked to work -% total pop,Walked to work -% total pop,Worked at home  - % total pop,% Transiting  to work (any form),Drive to work - % commuters,Public transit to work -% commuters,Biked to work - % commuters,Walked to work - % commuters,Pop Under 5 years,Pop 5-9 years,Pop 10-14 years,Pop 15-17 years,Pop 18-19 years,Pop 20 years,Pop 21 years,Pop 22-24 years,Pop 25-29 years,Pop 30-34 years,Pop 35-39 years,Pop 40-44 years,Pop 45-49 years,Pop 50-54 years,Pop 55-59 years,Pop 60-61 years,Pop 62-64 years,Pop 65-66 years,Pop 67-69 years,Pop 70-74 years,Pop 75-79 years,Pop 80-84 years,Pop 85 years plus,Pop 0-9,Pop 10-19,Pop 20-29,Pop 30-39,Pop 40-49,Pop 50-59,Pop 60-69,Pop 70+
60630,(Chicago),57627.00,1731.00,38.60," $67,469.00 "," $30,239.00 "," 6,892.00 ",0.12,5922.00,0.10,1015025.00,9900.00,21680.00,5786.00,192.00,384.00,808.00,0.38,0.10,0.00,0.01,0.01,0.49,0.77,0.21,0.01,0.01,3673.00,3245.00,3498.00,1949.00,1053.00,491.00,724.00,2252.00,3961.00,4223.00,4905.00,4062.00,4005.00,4466.00,4083.00,1418.00,2039.00,807.00,1432.00,1739.00,1310.00,1162.00,1130.00,0.12,0.11,0.13,0.16,0.14,0.15,0.10,0.09
60652,(Chicago),43228.00,1430.00,35.30," $64,574.00 "," $23,806.00 "," 3,376.00 ",0.08,5252.00,0.12,700285.00,6595.00,15824.00,2770.00,0.00,130.00,320.00,0.37,0.06,0.00,0.00,0.01,0.43,0.85,0.15,0.00,0.01,2739.00,3199.00,3570.00,2104.00,1412.00,525.00,720.00,2200.00,2617.00,2426.00,2879.00,2611.00,3459.00,3464.00,2870.00,1119.00,956.00,653.00,805.00,1297.00,496.00,442.00,665.00,0.14,0.16,0.14,0.12,0.14,0.15,0.08,0.07
60638,(Chicago),57746.00,1255.00,38.40," $64,408.00 "," $27,052.00 "," 5,516.00 ",0.10,4937.00,0.09,903390.00,9942.00,21799.00,3578.00,104.00,477.00,395.00,0.38,0.06,0.00,0.01,0.01,0.45,0.84,0.14,0.00,0.02,3753.00,3624.00,4063.00,2089.00,1483.00,519.00,628.00,2342.00,3507.00,4022.00,4244.00,4429.00,3869.00,4045.00,3392.00,1495.00,2030.00,1181.00,1561.00,1832.00,1308.00,1092.00,1238.00,0.13,0.13,0.12,0.14,0.14,0.13,0.11,0.09
60618,(Chicago),95632.00,2119.00,33.80," $62,102.00 "," $34,770.00 "," 12,193.00 ",0.13,11979.00,0.13,1699555.00,12015.00,30184.00,14831.00,1115.00,1697.00,3177.00,0.32,0.16,0.01,0.02,0.03,0.50,0.63,0.31,0.02,0.04,7351.00,6441.00,4937.00,2321.00,1735.00,959.00,966.00,4198.00,10214.00,11375.00,9420.00,7244.00,6266.00,5761.00,4468.00,1607.00,1684.00,1349.00,1523.00,2122.00,1462.00,1087.00,1142.00,0.14,0.09,0.17,0.22,0.14,0.11,0.06,0.06
60647,(Chicago),88866.00,1937.00,31.40," $61,028.00 "," $34,232.00 "," 11,214.00 ",0.13,16760.00,0.19,1510345.00,10357.00,25978.00,15977.00,2315.00,1733.00,2824.00,0.29,0.18,0.03,0.02,0.03,0.52,0.56,0.35,0.05,0.04,6546.00,4887.00,4529.00,2691.00,1711.00,758.00,1069.00,5233.00,13174.00,11770.00,8591.00,6240.00,5355.00,4082.00,3620.00,1111.00,1590.00,1040.00,1204.00,1434.00,1221.00,476.00,534.00,0.13,0.10,0.23,0.23,0.13,0.09,0.06,0.04
60643,(Chicago),50507.00,1590.00,43.90," $59,686.00 "," $30,304.00 "," 5,958.00 ",0.12,7994.00,0.16,741485.00,4762.00,14933.00,4234.00,42.00,361.00,930.00,0.30,0.08,0.00,0.01,0.02,0.39,0.76,0.22,0.00,0.02,2660.00,2676.00,3673.00,2027.00,1164.00,682.00,615.00,1837.00,1972.00,2618.00,2774.00,3339.00,3368.00,4279.00,4165.00,1423.00,1977.00,1146.00,1240.00,2136.00,1958.00,1396.00,1382.00,0.11,0.14,0.10,0.11,0.13,0.17,0.11,0.14
60625,(Chicago),79157.00,2252.00,34.00," $59,601.00 "," $31,245.00 "," 9,045.00 ",0.11,13101.00,0.17,1506855.00,10163.00,22640.00,14694.00,809.00,2546.00,2104.00,0.29,0.19,0.01,0.03,0.03,0.51,0.56,0.36,0.02,0.06,5934.00,4172.00,3680.00,2152.00,1979.00,933.00,1188.00,3546.00,8467.00,9271.00,7834.00,5693.00,5009.00,4663.00,4013.00,1637.00,2005.00,1125.00,1482.00,1472.00,1132.00,930.00,840.00,0.13,0.10,0.18,0.22,0.14,0.11,0.08,0.06
60634,(Chicago),73382.00,1854.00,38.60," $58,184.00 "," $26,564.00 "," 5,846.00 ",0.08,8397.00,0.11,1344770.00,14353.00,30275.00,4205.00,113.00,739.00,677.00,0.41,0.06,0.00,0.01,0.01,0.48,0.86,0.12,0.00,0.02,4908.00,4340.00,4203.00,2599.00,1804.00,871.00,738.00,2466.00,5963.00,5783.00,4400.00,4810.00,5348.00,5094.00,5582.00,1775.00,2543.00,1517.00,2013.00,2149.00,1503.00,1501.00,1472.00,0.13,0.12,0.14,0.14,0.14,0.15,0.11,0.09
60656,(Chicago),27926.00,990.00,40.40," $58,177.00 "," $33,066.00 "," 3,536.00 ",0.13,2624.00,0.09,434225.00,5448.00,11609.00,1816.00,10.00,125.00,577.00,0.42,0.07,0.00,0.00,0.02,0.49,0.86,0.13,0.00,0.01,1784.00,1580.00,1435.00,704.00,244.00,134.00,150.00,746.00,2020.00,2419.00,2651.00,1923.00,2030.00,1808.00,1770.00,755.00,1121.00,576.00,774.00,1234.00,910.00,488.00,670.00,0.12,0.09,0.11,0.18,0.14,0.13,0.12,0.12
60641,(Chicago),70642.00,2133.00,35.70," $53,158.00 "," $25,655.00 "," 5,372.00 ",0.08,9560.00,0.14,1291145.00,10433.00,25906.00,7942.00,288.00,913.00,1240.00,0.37,0.11,0.00,0.01,0.02,0.50,0.74,0.23,0.01,0.03,4718.00,4281.00,3963.00,2561.00,1486.00,903.00,936.00,2933.00,6281.00,6167.00,5179.00,5171.00,5162.00,4838.00,4884.00,1710.00,2177.00,1141.00,1435.00,1742.00,1243.00,810.00,921.00,0.13,0.11,0.16,0.16,0.15,0.14,0.09,0.07
60659,(Chicago),38995.00,1867.00,34.10," $51,527.00 "," $23,038.00 "," 2,611.00 ",0.07,8224.00,0.21,606050.00,6181.00,13262.00,3391.00,292.00,1078.00,622.00,0.34,0.09,0.01,0.03,0.02,0.46,0.74,0.19,0.02,0.06,2517.00,2785.00,2670.00,1422.00,751.00,466.00,547.00,1814.00,3792.00,3351.00,2939.00,2589.00,2286.00,1892.00,2669.00,777.00,1113.00,793.00,887.00,969.00,922.00,507.00,537.00,0.14,0.12,0.17,0.16,0.13,0.12,0.09,0.08
60633,(Chicago),12817.00,981.00,39.10," $50,754.00 "," $24,977.00 "," 1,225.00 ",0.10,2353.00,0.18,176345.00,2920.00,4523.00,820.00,0.00,112.00,36.00,0.35,0.06,0.00,0.01,0.00,0.43,0.83,0.15,0.00,0.02,647.00,756.00,924.00,395.00,375.00,102.00,170.00,503.00,793.00,1298.00,654.00,716.00,800.00,1264.00,976.00,272.00,456.00,215.00,218.00,362.00,417.00,266.00,238.00,0.11,0.13,0.12,0.15,0.12,0.17,0.09,0.10
